louvain,mean_opinion,mean_T,mean_E,mean_S,mean_V,size
0,0.7021533681416329,0.5767201267201267,0.5368082368082367,0.8214285714285714,0.8707850707850708,37
1,0.4930149758705193,0.4409688013136289,0.4241379310344827,0.5621763294177087,0.5448275862068965,29
2,0.5770833333333334,0.48333333333333334,0.45833333333333337,0.55,0.8166666666666667,4
3,0.41228070175438597,0.42857142857142855,0.23333333333333334,0.5,0.5,1
4,0.625,0.7,0.4666666666666667,0.7,0.6333333333333333,1
5,0.45,0.6333333333333333,0.2,0.36666666666666664,0.6,1
6,0.3416666666666667,0.6,0.2,0.23333333333333334,0.3333333333333333,1
7,0.5583333333333333,0.4,0.6,0.7333333333333333,0.5,1
8,0.5508474576271186,0.39285714285714285,0.5666666666666667,0.5333333333333333,0.7,1
9,0.45555555555555555,0.5,0.36666666666666664,0.5,,1
10,0.5169491525423728,0.25,0.43333333333333335,0.36666666666666664,1.0,1
11,0.375,0.2,0.13333333333333333,0.5333333333333333,0.6333333333333333,1
12,0.4083333333333333,0.26666666666666666,0.4,0.23333333333333334,0.7333333333333333,1
13,0.5172413793103449,0.5666666666666667,0.39285714285714285,0.42857142857142855,0.6666666666666666,1
14,0.6833333333333333,0.8333333333333334,0.6666666666666666,0.6333333333333333,0.6,1
15,0.35,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.5333333333333333,1
16,0.13333333333333333,0.4,0.0,0.03333333333333333,0.1,1
17,-0.10714285714285714,-0.2,-0.07142857142857142,0.0,-0.15384615384615385,1
18,0.32,0.26666666666666666,0.5,0.26666666666666666,0.1,1
19,0.36607142857142855,0.6,0.16666666666666666,0.4166666666666667,0.2857142857142857,1
