name,n_nodes,n_edges,density,n_components,giant_size,giant_frac,avg_degree,avg_clustering,avg_shortest_path_giant
agent,87,456,0.1218925421010425,18,70,0.8045977011494253,10.482758620689655,0.4472628260383563,2.2737060041407866
attitude,60,498,0.28135593220338984,17,44,0.7333333333333333,16.6,0.6055982983676051,1.4767441860465116
