,11,12,13,14,16,17,18,19,20,21,22,24,26,29,31,32,35,36,37,38,40,41,42,43,45,46,48,49,50,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,69,70,72,74,79,80,81,82,83,84,85,86,89,90,91,92,93,94,95,97,99,101,102,103,104,105,106,108,109,110,111,113,114,115,116,117,118,119,120,121,123,125,126
11,0,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
12,59,0,59,59,59,59,59,58,59,59,59,56,59,59,59,58,59,59,59,59,57,59,56,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,59,59,59,44,59,56,59,59,58,59,59,59,59,59,55,57,59,57,59,59,59,57,57,59,59,59,59,59,59,59,59,59,59,59,59,58,59,55,59,49,55,59
13,60,59,0,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
14,60,59,60,0,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
16,60,59,60,60,0,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
17,60,59,60,60,60,0,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
18,60,59,60,60,60,60,0,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
19,59,58,59,59,59,59,59,0,59,59,59,56,59,59,59,58,59,59,59,59,57,59,57,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,59,59,59,44,59,56,59,59,58,59,59,59,59,59,55,57,59,57,59,59,59,57,57,59,59,59,59,59,59,59,59,59,59,59,59,58,59,55,59,49,55,59
20,60,59,60,60,60,60,60,59,0,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
21,60,59,60,60,60,60,60,59,60,0,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
22,60,59,60,60,60,60,60,59,60,60,0,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
24,57,56,57,57,57,57,57,56,57,57,57,0,57,57,57,56,57,57,57,57,55,57,54,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,56,57,57,57,42,57,54,57,57,56,57,57,57,57,57,53,55,57,55,57,57,57,56,55,57,57,57,57,57,57,57,57,57,57,57,57,56,57,53,57,47,54,57
26,60,59,60,60,60,60,60,59,60,60,60,57,0,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
29,60,59,60,60,60,60,60,59,60,60,60,57,60,0,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
31,60,59,60,60,60,60,60,59,60,60,60,57,60,60,0,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
32,59,58,59,59,59,59,59,58,59,59,59,56,59,59,59,0,59,59,59,59,57,59,56,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,59,59,59,44,59,56,59,59,58,59,59,59,59,59,55,57,59,57,59,59,59,57,57,59,59,59,59,59,59,59,59,59,59,59,59,58,59,56,59,49,55,59
35,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,0,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
36,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,0,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
37,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,0,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
38,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,0,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
40,58,57,58,58,58,58,58,57,58,58,58,55,58,58,58,57,58,58,58,58,0,58,55,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57,58,58,58,44,58,55,58,58,57,58,58,58,58,58,54,56,58,56,58,58,58,56,57,58,58,58,58,58,58,58,58,58,58,58,58,57,58,55,58,49,54,58
41,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,0,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
42,57,56,57,57,57,57,57,57,57,57,57,54,57,57,57,56,57,57,57,57,55,57,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,56,57,57,57,42,57,54,57,57,57,57,57,57,57,57,53,55,57,55,57,57,57,55,55,57,57,57,57,57,57,57,57,57,57,57,57,56,57,53,57,47,53,57
43,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
45,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
46,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
48,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
49,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
50,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
52,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
53,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
54,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
55,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
