11,12,43.0,59
11,46,42.0,60
11,70,41.5,60
11,90,42.5,60
11,91,46.0,60
11,113,42.5,60
11,126,42.0,60
12,14,41.5,59
12,65,42.0,59
12,90,43.0,59
12,91,48.5,59
12,99,42.5,59
13,29,41.5,60
13,38,46.0,60
13,49,41.5,60
13,64,42.0,60
13,66,42.5,60
13,67,42.5,60
13,83,41.5,60
13,94,42.0,60
13,97,42.0,60
13,104,42.5,60
13,105,43.0,60
13,110,43.0,60
13,114,42.5,60
14,17,41.5,60
14,18,45.0,60
14,32,42.0,59
14,46,43.0,60
14,65,41.5,60
14,70,42.5,60
14,90,47.5,60
14,91,49.0,60
14,93,41.5,58
14,99,52.0,60
14,115,41.5,60
14,126,42.0,60
16,32,41.5,59
16,50,43.0,60
16,66,42.0,60
16,95,42.0,58
16,99,44.0,60
18,45,42.5,60
18,46,44.0,60
18,90,42.5,60
18,91,45.0,60
18,99,45.0,60
18,102,43.0,58
19,37,42.5,59
19,55,41.5,59
19,67,42.5,59
19,104,42.0,59
19,114,41.5,59
19,121,42.0,59
20,21,41.5,60
20,37,41.5,60
20,50,43.0,60
20,55,41.5,60
20,61,42.5,60
20,67,46.0,60
20,81,41.5,57
20,83,43.0,60
20,94,44.5,60
20,95,42.0,58
20,104,42.0,60
20,105,43.5,60
20,108,42.5,60
20,110,45.5,60
20,114,44.0,60
21,37,46.0,60
21,38,44.0,60
21,41,44.5,60
21,49,43.5,60
21,50,41.5,60
21,53,44.0,60
21,54,44.0,60
21,57,43.0,60
21,61,42.0,60
21,62,43.0,60
21,66,42.5,60
21,67,46.5,60
21,74,41.5,60
21,81,46.0,57
21,83,42.5,60
21,86,43.5,60
21,94,47.0,60
21,95,42.0,58
21,97,42.0,60
21,104,42.5,60
21,105,47.0,60
21,108,46.0,60
21,110,51.0,60
21,114,45.5,60
22,90,41.5,60
29,37,41.5,60
29,41,45.0,60
29,49,43.0,60
29,55,42.5,60
29,61,41.5,60
29,66,42.0,60
29,94,43.5,60
29,105,43.5,60
29,108,42.5,60
29,110,44.5,60
31,45,43.0,60
31,90,42.0,60
31,91,41.5,60
31,99,41.5,60
32,37,42.5,59
32,49,42.5,59
32,52,45.0,59
32,53,43.0,59
32,66,41.5,59
32,67,41.5,59
32,70,46.0,59
32,83,44.0,59
32,90,45.5,59
32,91,42.0,59
32,99,45.0,59
32,101,43.0,59
32,105,43.0,59
32,114,42.0,59
35,37,41.5,60
35,38,41.5,60
35,48,42.0,60
35,54,41.5,60
35,55,41.5,60
35,61,41.5,60
35,64,43.5,60
35,83,44.0,60
35,97,42.5,60
35,104,43.0,60
35,114,45.0,60
35,118,42.0,59
37,41,47.5,60
37,49,41.5,60
37,50,47.5,60
37,52,44.0,60
37,53,42.0,60
37,54,47.0,60
37,55,44.0,60
37,66,43.5,60
37,67,43.5,60
37,82,43.0,60
37,83,43.5,60
37,94,46.0,60
37,95,42.5,58
37,97,43.0,60
37,104,43.5,60
37,105,48.0,60
37,108,43.0,60
37,110,46.0,60
37,114,47.5,60
38,49,43.5,60
38,53,44.0,60
38,55,44.0,60
38,61,43.0,60
38,64,44.0,60
38,66,42.5,60
38,67,47.5,60
38,70,44.0,60
38,74,42.5,60
38,83,41.5,60
38,86,41.5,60
38,94,43.0,60
38,99,44.5,60
38,104,43.5,60
38,105,44.0,60
38,106,41.5,60
38,110,46.0,60
38,114,43.5,60
40,67,41.5,58
40,108,44.0,58
41,50,50.0,60
41,52,47.5,60
41,53,44.5,60
41,54,45.5,60
41,55,41.5,60
41,61,41.5,60
41,62,45.5,60
41,67,42.0,60
41,81,44.5,57
41,83,46.0,60
41,94,49.5,60
41,95,43.5,58
41,97,45.5,60
41,104,42.0,60
41,105,47.5,60
41,108,45.5,60
41,110,47.5,60
41,114,48.0,60
42,91,43.5,57
43,49,41.5,60
43,61,42.0,60
